Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C6",1206,2,10u,C16195875,
"C10, C4, C5, C9",1206,4,22u,C77091,
"C2, C3, C7, C8",0603,4,0.1u,C24452,
D1,0603,1,LED (YELLOW),C2900143,
D2,0603,1,LED (BLUE),C5200747,
D3,0603,1,LED (RED),C5357909,
"F1, F5, F6, F7",3588_FUSE_HOLDER,4,3588,C3206309,
J1,PinHeader_1x04_P2.54mm_Horizontal,1,DHT22,C2935929,
J10,PinHeader_1x02_P2.54mm_Vertical,1,"ADC1,7",C124375,
J11,CONN_SM04B-SRSS-TB_JST,1,Qwiic JST,C160404,
J12,CONNFLY Elec DS1128-05-S8B8P,1,Data 1,C86577,
J13,CONNFLY Elec DS1128-05-S8B8P,1,Data 2,C86577,
J14,CUI_Screw_terminal_1x2,1,ROUTER 24V,C474900,
J15,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,24V/5V OUT,C160258,
J16,CONNFLY Elec DS1128-05-S8B8P,1,Data 3,C86577,
J17,CONNFLY Elec DS1128-05-S8B8P,1,PoE 2,C86577,
"J18, J19",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,C124376,
J2,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,DS18B20,C160258,
J3,JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical,1,Conn_01x04,C264994,
J4,CUI_TB005-762-02BE,1,24V IN,C475104,
J5,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,Conn_01x05_Pin,C136657,
J6,CONNFLY Elec DS1128-05-S8B8P,1,PoE 1,C86577,
J7,CONNFLY Elec DS1128-05-S8B8P,1,PoE 3,C86577,
J8,PinHeader_1x04_P2.54mm_Vertical,1,UART,C124378,
J9,PinHeader_1x02_P2.54mm_Vertical,1,"ADC1,6",C124375,
"K1, K2, K3, K4",DIP762W60P254L838H406Q6N,4,LCA717,C72117,
"L1, L2",WE-XHMI_6060,2,6.8u,C167221,
"R1, R2",0603,2,4k7,C99782,
"R10, R12, R4, R6, R8",0603,5,5K1,C105580,
"R11, R3, R5, R7, R9",0603,5,150K,C114660,
"R16, R22, R23, R24",0603,4,2.2K,C114662,
"R19,R21",0603,2,750,C114635,
R20,0603,1,330,C105881,
"V1,V2","Plugin,P=2.54mm",2,ESP32-DevKitC,C319202,This are header pins to support ESP32-devkit-c
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS722xLCTR-20AU,C459319,
"U3, U4",SOIC_05WU-7_DIO,2,AP63205WU-7,C2071056,
