Designator,Mid X,Mid Y,Layer,Rotation
C1,150.096,-41.079,top,90
C2,147.596,-41.899,top,90
C3,137.271,-44.804,top,180
C4,143.971,-37.304,top,0
C5,143.971,-39.804,top,0
C6,151.196,-100.174,top,0
C7,150.446,-97.924,top,0
C8,147.196,-87.424,top,90
C9,153.696,-94.174,top,270
C10,156.196,-94.174,top,270
D1,146.266,-28.6365,top,270
D2,148.856,-28.6365,top,270
D3,151.446,-28.6365,top,270
F1,151.446,-62.674,top,270
F5,124.0702,-123.174,top,180
F6,108.8202,-123.221,top,180
F7,94.446,-123.221,top,180
J1,129.646,-66.574,top,180
J2,136.871,-144.449,top,0
J3,155.746,-37.674,top,0
J4,97.9335,-78.864,top,270
J5,159.096,-28.649,top,180
J6,124.696,-136.549,top,0
J7,93.696,-136.549,top,0
J8,164.246,-97.584,top,0
J9,164.202,-118.369,top,0
J10,164.196,-112.134,top,0
J11,149.25175,-152.9649,top,180
J12,124.696,-45.549,top,180
J13,109.196,-45.549,top,180
J14,141.671,-29.549,top,180
J15,163.996,-141.374,top,90
J16,93.696,-45.549,top,180
J17,109.196,-136.549,top,0
J18,155.296,-154.624,top,180
J19,164.196,-149.624,top,0
K1,136.696,-62.674,top,0
K2,124,-108.884,top,0
K3,108.94,-108.674,top,0
K4,94.44,-108.674,top,0
L1,136.496,-40.054,top,180
L2,151.696,-86.674,top,90
R1,163.121,-128.399,top,180
R2,163.121,-129.949,top,180
R3,139.271,-90.499,top,270
R4,137.715,-90.499,top,90
R5,155.621,-104.349,top,90
R6,157.19,-104.329,top,270
R7,137.64,-99.729,top,90
R8,139.246,-99.724,top,270
R9,155.577,-107.399,top,90
R10,157.171,-107.399,top,270
R11,155.671,-125.124,top,90
R12,157.221,-125.124,top,270
R16,131.346,-110.124,top,0
R19,150.121,-31.874,top,90
R20,147.571,-31.924,top,90
R21,145.221,-31.874,top,90
R22,156.371,-114.174,top,0
R23,156.421,-111.624,top,0
R24,156.446,-109.824,top,0
U2,106.296,-84.624,top,90
U3,144.096,-43.804,top,180
U4,148.646001,-94.47575,top,90
V1,148.09,-129.424,top,0
V2,172.09,-129.424,top,0
