Designator,Comment,Footprint,JLCPCB Part #
"C15,C16",20pF,C_0201_0603Metric,C71879
"C6,C7,C8,C9,C10,C11,C12,C13,C14",0.1uF (X5R/X7R) 50V,C_0201_0603Metric,C76939
"C2,C3",0.1uF (X5R/X7R) 50V,C_0603_1608Metric,C14663
L1,6.8uH 5A,WE-XHMI_6060,C167221
C1,10u (X5R/X7R) 35V,C_1206_3216Metric,C13585
"C4,C5",22u (X5R/X7R) 25V,C_1206_3216Metric,C12891
"R4,R5,R6,R7",49.9,R_0201_0603Metric,C155744
"R8,R9",75,R_0201_0603Metric,C274878
R11,10M,R_0201_0603Metric,C307111
R10,2.32k 1%,R_0201_0603Metric,C407772
U3,AP63205WU-7,SOIC_05WU-7_DIO,C2071056
J1,DNP,RJ45_Socket,
U2,ENC28J60x-SS,SSOP-28_5.3x10.2mm_P0.65mm,C8961
FB1,FerriteBead_Small,R_0603_1608Metric,C85834
J2,DNP,PinSocket_2x20_P2.54mm_Vertical,
T1,PT61018PEL,XFMR_PT61018PEL,C840586
X1,25Mhz Crystal,SMD3225-4P,C9006
