Designator,Mid X,Mid Y,Rotation,Layer
C1,210.175,-89.125,90.0,top
C10,201.8,-115.05,180.0,top
C11,201.7,-117.395,90.0,top
C12,195.445,-117.405,90.0,top
C13,206.7,-127.05,180.0,top
C14,195.28,-102.65,0.0,top
C15,206.2,-110.145,270.0,top
C16,206.2,-105.05,270.0,top
C2,207.575,-89.625,90.0,top
C3,194.675,-93.725,180.0,top
C4,201.075,-86.825,0.0,top
C5,201.075,-83.725,0.0,top
C6,201.82,-102.65,180.0,top
C7,204.05,-106.245,90.0,top
C8,204.8,-109.85,0.0,top
C9,204.8,-110.55,0.0,top
FB1,207.3,-120.55,0.0,top
J1,198.555,-138.19,0.0,top
J2,186.2,-112.55,0.0,top
L1,194.2,-87.8,180.0,top
R10,192.83,-113.1,0.0,top
R11,205.15,-107.57,270.0,top
R4,200.45,-118.145,270.0,top
R5,202.95,-118.12,90.0,top
R6,194.19,-118.12,90.0,top
R7,196.7,-118.12,270.0,top
R8,206.7,-125.05,0.0,top
R9,206.7,-126.05,0.0,top
T1,198.555,-124.95,270.0,top
U2,198.555,-108.85,270.0,top
U3,203.875,-91.125,180.0,top
X1,208.445288,-106.159864,232.5,top
