Designator,Mid X,Mid Y,Layer,Rotation
J2,160.78,-105.37,bottom,180
J3,160.78,-107.5,bottom,180
C1,155.141,-101.2955,top,180
C2,149.5,-89.45,top,0
C3,158.7,-108.35,top,0
C4,143.091,-93.7455,top,180
C5,143.091,-95.1455,top,180
C6,148.691,-100.2955,top,270
C7,149.5,-88.25,top,0
C8,154.291,-93.7955,top,0
C9,149.741,-100.2955,top,270
C10,143.091,-94.4455,top,180
C11,152.5,-89.1,top,90
C12,154.341,-99.3455,top,270
C13,143.091,-96.5455,top,180
C14,153.5,-89.1,top,90
C15,153.591,-99.3455,top,270
C16,143.091,-95.8455,top,180
C17,159.6,-101.95,top,90
C18,159.95,-110.8,top,0
C19,158.735,-98.2915,top,180
C20,157.846,-74.194,top,90
C21,160.386,-74.689,top,90
C22,144.891,-78.9955,top,180
C23,150.988,-71.4,top,0
C24,150.988,-68.86,top,0
D1,160,-82.85,top,90
FB1,157.4,-100.55,top,0
FB2,154.95,-89.65,top,270
FB3,157.4,-102.15,top,180
J1,137.49,-73.45,bottom,0
J4,148.321,-123.597,top,0
J5,159.591,-124.2955,top,90
J6,150.591,-82.6955,top,180
L1,144.13,-73.455,top,90
R1,156.4,-98.75,top,90
R2,144.791,-100.6455,top,0
R3,140.584,-108.357,top,180
R4,140.584,-106.325,top,180
R5,156.586,-106.325,top,0
R6,156.586,-108.357,top,0
R7,156.586,-110.135,top,0
R8,156.586,-111.405,top,0
R9,161.402,-95.065,top,270
R10,154.544,-96.208,top,270
R11,160,-79.95,top,90
R12,156.191,-115.3955,top,180
R13,142.891,-115.1955,top,90
T1,148.585,-108.529,top,270
U1,148.966,-94.895,top,90
U2,153.81375,-76.094002,top,180
XTAL1,157.973,-95.065,top,180
